iter	MultiRMSE
0	0.1974414001
1	0.1959023335
2	0.1942696857
3	0.1927043253
4	0.1912250164
5	0.1896964944
6	0.1882713851
7	0.1867508778
8	0.1852200055
9	0.1838227545
10	0.1823211397
11	0.180821857
12	0.179383036
13	0.1780074239
14	0.17654713
15	0.1751086984
16	0.1737129227
17	0.1722533977
18	0.1708568192
19	0.1695473186
20	0.1682336133
21	0.1668800674
22	0.1654537726
23	0.1640451006
24	0.1627947831
25	0.1615243739
26	0.1601963962
27	0.1589529582
28	0.1575973212
29	0.1563413214
30	0.1551477575
31	0.1538757
32	0.1526298453
33	0.1514173501
34	0.1501970709
35	0.1489348516
36	0.1477345052
37	0.1465450656
38	0.1454195456
39	0.1443376572
40	0.1431729127
41	0.1420231414
42	0.1409087337
43	0.1397918176
44	0.1386658649
45	0.1375126755
46	0.1365082046
47	0.135400361
48	0.1343471527
49	0.1332849821
50	0.1321703582
51	0.1311243404
52	0.1300697131
53	0.1289852862
54	0.1280043435
55	0.1270590918
56	0.1260540105
57	0.1250253484
58	0.12403496
59	0.1230789052
60	0.1220836697
61	0.1210989102
62	0.120127715
63	0.1191903673
64	0.118223423
65	0.1173064329
66	0.1164080004
67	0.1154990532
68	0.1145458723
69	0.1136889265
70	0.1127817355
71	0.1119213857
72	0.1110095784
73	0.1101150922
74	0.1092454985
75	0.1084170285
76	0.107515215
77	0.1067182491
78	0.1058895261
79	0.1050481239
80	0.1042054997
81	0.1034254658
82	0.1026018394
83	0.1017897978
84	0.1010012918
85	0.1001867632
86	0.0994728925
87	0.09871121813
88	0.09792377535
89	0.09716000017
90	0.0963999431
91	0.09564485038
92	0.09490275632
93	0.09418033871
94	0.09346202527
95	0.09276701863
96	0.09203498788
97	0.09135051372
98	0.0906633134
99	0.08999388093
100	0.0892612865
101	0.0885527383
102	0.0878666948
103	0.08716618284
104	0.08652906226
105	0.08586729819
106	0.08526599426
107	0.08457319834
108	0.08394264622
109	0.08330625544
110	0.08268547911
111	0.08205334623
112	0.0813969443
113	0.08078115059
114	0.08014236739
115	0.07953139245
116	0.07892253996
117	0.07835100764
118	0.07775347599
119	0.07713764914
120	0.07656408672
121	0.07598209362
122	0.07544128678
123	0.07490584505
124	0.07437670267
125	0.07380287624
126	0.07322972807
127	0.07268036217
128	0.07213035841
129	0.07158626976
130	0.07100742622
131	0.07052009475
132	0.06998795087
133	0.06948712764
134	0.06898941581
135	0.06849650531
136	0.06796483713
137	0.06748352829
138	0.06697983062
139	0.06648717026
140	0.06598641079
141	0.06552393476
142	0.06503727686
143	0.06460634447
144	0.06411305898
145	0.06365647063
146	0.06315974957
147	0.06266343
148	0.06218450531
149	0.06175975324
150	0.06127883375
151	0.06082275118
152	0.06040793907
153	0.05996546324
154	0.05951392
155	0.05909656842
156	0.05867920031
157	0.05825186345
158	0.05784539048
159	0.0573946246
160	0.05698254674
161	0.05659563163
162	0.05617344356
163	0.05578736896
164	0.05540296349
165	0.05501564543
166	0.05458643871
167	0.0541771051
168	0.05378802205
169	0.05341657313
170	0.05301416396
171	0.05265121476
172	0.0522977604
173	0.05192113007
174	0.05156688276
175	0.05117366688
176	0.05081751758
177	0.05045484176
178	0.05009244012
179	0.04975387938
180	0.04937908598
181	0.04904169142
182	0.04870323388
183	0.04836018677
184	0.04803903531
185	0.04767746147
186	0.04735759036
187	0.04703826832
188	0.04671261132
189	0.04641418991
190	0.04607095598
191	0.04574669681
192	0.04542500901
193	0.04508650976
194	0.04477476259
195	0.04444182039
196	0.04414040411
197	0.04381510268
198	0.04351356337
199	0.04322015342
200	0.04289792311
201	0.04260539899
202	0.0422975283
203	0.041991367
204	0.04168966674
205	0.0414224364
206	0.04117254533
207	0.04089558958
208	0.04062321172
209	0.04032402151
210	0.04005472608
211	0.03976833875
212	0.03949341728
213	0.03924012598
214	0.0389819734
215	0.038698641
216	0.03845264374
217	0.03817722925
218	0.03790971063
219	0.03765022285
220	0.03740046516
221	0.03713980594
222	0.0368704363
223	0.03663314914
224	0.03637872508
225	0.03612675972
226	0.03586518276
227	0.03562944054
228	0.03539079311
229	0.03516553412
230	0.03493032308
231	0.03468922187
232	0.0344598543
233	0.03422649486
234	0.03401467202
235	0.03382533107
236	0.03360464733
237	0.03337379534
238	0.03317554106
239	0.03295852798
240	0.03273885326
241	0.03253848464
242	0.03232012723
243	0.03211424945
244	0.03190875504
245	0.0316878789
246	0.03150182165
247	0.03130113194
248	0.03110859265
249	0.03089930757
250	0.03070782077
251	0.03052248665
252	0.03032525967
253	0.03013689657
254	0.02994118519
255	0.02974075346
256	0.02955884575
257	0.02938693134
258	0.029211221
259	0.02903606854
260	0.02887136077
261	0.02870441943
262	0.02852655591
263	0.02836781866
264	0.02819446411
265	0.02803980756
266	0.02786007284
267	0.02769025252
268	0.02751091022
269	0.02733797664
270	0.02717613373
271	0.02701380092
272	0.02685862662
273	0.02670954804
274	0.02655963207
275	0.02641147231
276	0.02624587884
277	0.02610701408
278	0.02594909173
279	0.02578434517
280	0.02563393202
281	0.02548436693
282	0.02534135811
283	0.02518756075
284	0.02505371521
285	0.02489243845
286	0.02474810171
287	0.02460014665
288	0.02445760653
289	0.02432890896
290	0.02419176193
291	0.02405881623
292	0.02393305002
293	0.02379748558
294	0.02365918229
295	0.0235110354
296	0.02338324685
297	0.02324626782
298	0.02311133087
299	0.02300098673
300	0.02286837811
301	0.02274360559
302	0.02261148939
303	0.02250560098
304	0.02237847094
305	0.0222689611
306	0.02215425183
307	0.02202458742
308	0.02192076585
309	0.02180906528
310	0.02169500246
311	0.02158500971
312	0.02146984389
313	0.02137089518
314	0.02126062057
315	0.02114970927
316	0.02104025624
317	0.02093571383
318	0.02084461064
319	0.02073693591
320	0.02064749077
321	0.02054591268
322	0.02043695524
323	0.02034627809
324	0.02025236192
325	0.02014712054
326	0.02005193296
327	0.01994779077
328	0.01985927752
329	0.01976242001
330	0.01966801828
331	0.01958648715
332	0.01950158033
333	0.01941453991
334	0.0193171567
335	0.0192181337
336	0.01913699848
337	0.01903916341
338	0.01894983672
339	0.01885694558
340	0.01876791899
341	0.01869505117
342	0.01861248818
343	0.01853524961
344	0.01846006247
345	0.01838126437
346	0.01829500979
347	0.01822573716
348	0.01814163621
349	0.01806086925
350	0.01797779276
351	0.01789463645
352	0.01782729621
353	0.0177549739
354	0.01769432804
355	0.0176196049
356	0.01755262254
357	0.0174833772
358	0.0174161622
359	0.01734859201
360	0.01728376744
361	0.01721260143
362	0.01715083527
363	0.01708867174
364	0.01702345851
365	0.01695462772
366	0.01688518045
367	0.01682852126
368	0.01677037295
369	0.01671027329
370	0.01664438229
371	0.01657887831
372	0.01651422182
373	0.01646046016
374	0.01640847608
375	0.01635425339
376	0.01630669026
377	0.01624768753
378	0.01619041903
379	0.0161330891
380	0.01607683642
381	0.01602864794
382	0.01597431179
383	0.01592677452
384	0.01587637361
385	0.01582384384
386	0.01577358641
387	0.01572453404
388	0.01566669343
389	0.0156139132
390	0.01556500613
391	0.01551601129
392	0.01546507877
393	0.01541890142
394	0.01537218292
395	0.01532445707
396	0.01527669857
397	0.01522496313
398	0.0151722211
399	0.01511848047
400	0.0150728268
401	0.01502808491
402	0.01498492969
403	0.0149430804
404	0.01489662644
405	0.01485697291
406	0.0148211783
407	0.01477592364
408	0.01473647818
409	0.0146909898
410	0.01465206985
411	0.01461307308
412	0.014571442
413	0.01453598952
414	0.01449559607
415	0.0144569172
416	0.01442123754
417	0.01437550881
418	0.01433958092
419	0.01430330571
420	0.01427546184
421	0.01424310307
422	0.01420642052
423	0.01416956624
424	0.01413788619
425	0.01410027628
426	0.01406062128
427	0.01402625553
428	0.01399320603
429	0.01396393843
430	0.01393482021
431	0.0138977789
432	0.01386336038
433	0.01382937254
434	0.01379986776
435	0.0137645414
436	0.01372753255
437	0.01370242166
438	0.01367746401
439	0.01364749814
440	0.0136162847
441	0.01359233495
442	0.01355691485
443	0.01353127097
444	0.01350635269
445	0.01347971558
446	0.01345275556
447	0.01342284793
448	0.0133903241
449	0.01336015862
450	0.01333195566
451	0.01330525703
452	0.01327779146
453	0.01325344674
454	0.01322201817
455	0.01320061505
456	0.01317687515
457	0.01315324187
458	0.01312605999
459	0.01309873036
460	0.01307648001
461	0.01305530043
462	0.01303284365
463	0.01300898976
464	0.01298623195
465	0.01296381753
466	0.01293744767
467	0.01291126567
468	0.01288490282
469	0.01286420941
470	0.01283964052
471	0.01281465117
472	0.0127875215
473	0.01276892645
474	0.01274615988
475	0.01272697487
476	0.01270637686
477	0.01268185854
478	0.01266108408
479	0.01263676942
480	0.01261624729
481	0.01259174561
482	0.01256708608
483	0.01255221042
484	0.01253228408
485	0.01251236917
486	0.01249562911
487	0.01247471287
488	0.0124573617
489	0.0124395083
490	0.0124154111
491	0.01239541676
492	0.01237970546
493	0.01236233069
494	0.01234018511
495	0.01232510379
496	0.0123093619
497	0.01229000349
498	0.01227650734
499	0.01226340162
500	0.01224165239
501	0.01223016802
502	0.01221694315
503	0.01220157935
504	0.01218637725
505	0.01216669273
506	0.01215167408
507	0.01213785698
508	0.01211757414
509	0.01209949298
510	0.01208552473
511	0.01206776297
512	0.0120563401
513	0.01204413895
514	0.01203229423
515	0.01201627984
516	0.01199820389
517	0.01198650228
518	0.01197474184
519	0.01195889331
520	0.01194837202
521	0.01193915526
522	0.01192761846
523	0.01191015806
524	0.01189650864
525	0.01188584925
526	0.01187212025
527	0.01185425431
528	0.01183835225
529	0.01182229538
530	0.01180950778
531	0.01179647235
532	0.01178214288
533	0.01176509689
534	0.01175357041
535	0.01174227242
536	0.01173108302
537	0.01171994604
538	0.01170460644
539	0.01168828943
540	0.01167150673
541	0.0116590456
542	0.01164888846
543	0.01163693564
544	0.01162675421
545	0.01161608773
546	0.01159998686
547	0.01158571016
