iter	Passed	Remaining
0	1286	10287148
1	1653	6613517
2	1957	5219250
3	2223	4444396
4	2491	3983688
5	2960	3944667
6	3230	3688338
7	3515	3511497
8	3788	3363873
9	4019	3211588
10	4275	3104914
11	4507	3000600
12	4732	2907800
13	4959	2828873
14	5187	2761509
15	5411	2700555
16	5644	2650514
17	5865	2600867
18	6125	2573063
19	6345	2531937
20	6570	2496603
21	6798	2465378
22	7023	2435821
23	7246	2408286
24	7502	2393352
25	7724	2368971
26	7954	2348825
27	8179	2328703
28	8402	2309483
29	8626	2291878
30	8874	2281216
31	9138	2275603
32	9386	2266045
33	9605	2250469
34	9825	2235995
35	10043	2221887
36	10263	2208794
37	10480	2195897
38	10733	2191074
39	10951	2179274
40	11169	2168203
41	11405	2161136
42	11620	2150344
43	11837	2140489
44	12052	2130695
45	12272	2122148
46	12492	2113812
47	12709	2105520
48	12949	2101191
49	13175	2094973
50	13391	2087286
51	13613	2080820
52	13833	2074208
53	14051	2067705
54	14270	2061394
55	14525	2060550
56	14744	2054625
57	14961	2048688
58	15182	2043444
59	15400	2038015
60	15620	2032908
61	15863	2031059
62	16084	2026380
63	16303	2021646
64	16523	2017084
65	16745	2013010
66	16963	2008477
67	17217	2008343
68	17428	2003269
69	17646	1999045
70	17866	1995219
71	18093	1992330
72	18322	1989606
73	18537	1985503
74	18753	1981611
75	18977	1978633
76	19234	1979124
77	19454	1975875
78	19673	1972580
79	19892	1969323
80	20110	1966134
81	20327	1962842
82	20545	1959702
83	20796	1959797
84	21019	1957240
85	21242	1954807
86	21464	1952257
87	21687	1949911
88	21904	1947046
89	22162	1947859
90	22386	1945665
91	22611	1943576
92	22837	1941666
93	23058	1939342
94	23276	1936835
95	23502	1935015
96	23725	1933039
97	23981	1933719
98	24226	1933467
99	24455	1932012
100	24678	1930073
101	24904	1928378
102	25123	1926254
103	25341	1924034
104	25562	1922034
105	25779	1919817
106	26014	1919030
107	26235	1917138
108	26480	1917008
109	26704	1915459
110	26936	1914421
111	27155	1912507
112	27374	1910676
113	27609	1909917
114	27860	1910241
115	28080	1908489
116	28307	1907224
117	28525	1905414
118	28742	1903545
119	28965	1902060
120	29221	1902782
121	29441	1901162
122	29662	1899633
123	29882	1898018
124	30104	1896608
125	30328	1895271
126	30546	1893652
127	30772	1892533
128	31010	1892105
129	31282	1893775
130	31507	1892624
131	31743	1892132
132	31969	1891007
133	32197	1890041
134	32426	1889118
135	32694	1890526
136	32918	1889304
137	33146	1888375
138	33376	1887563
139	33605	1886703
140	33836	1885951
141	34111	1887663
142	34351	1887391
143	34580	1886549
144	34809	1885721
145	35042	1885089
146	35273	1884391
147	35504	1883653
148	35732	1882801
149	35978	1882861
150	36240	1883802
151	36471	1883098
152	36701	1882319
153	36929	1881495
154	37158	1880691
155	37388	1879980
156	37657	1881192
157	37884	1880304
158	38114	1879607
159	38341	1878741
160	38576	1878290
161	38808	1877637
162	39075	1878747
163	39303	1877947
164	39532	1877178
165	39765	1876658
166	39995	1875978
167	40222	1875113
168	40491	1876252
169	40721	1875567
170	40949	1874807
171	41181	1874217
172	41409	1873481
173	41638	1872782
174	41911	1874054
175	42137	1873213
176	42366	1872518
177	42596	1871862
178	42825	1871175
179	43052	1870403
180	43287	1869973
181	43514	1869201
182	43782	1870220
183	44006	1869310
184	44255	1869500
185	44479	1868613
186	44712	1868123
187	44942	1867484
188	45212	1868544
189	45441	1867864
190	45675	1867444
191	45904	1866774
192	46134	1866169
193	46362	1865510
194	46624	1866195
195	46865	1866028
196	47090	1865194
197	47322	1864713
198	47555	1864218
199	47786	1863688
200	48044	1864190
201	48284	1863985
202	48514	1863369
203	48745	1862854
204	48991	1862881
205	49238	1862941
206	49519	1864264
207	49742	1863412
208	49983	1863252
209	50220	1862938
210	50445	1862183
211	50676	1861659
212	50966	1863271
213	51206	1863049
214	51444	1862755
215	51672	1862126
216	51901	1861517
217	52145	1861443
218	52370	1860719
219	52594	1859925
220	52853	1860388
221	53090	1860063
222	53319	1859478
223	53549	1858943
224	53780	1858423
225	54007	1857765
226	54277	1858576
227	54507	1858030
228	54733	1857352
229	54961	1856736
230	55193	1856279
231	55422	1855687
232	55677	1855996
233	55919	1855864
234	56152	1855406
235	56387	1855066
236	56617	1854525
237	56847	1853981
238	57120	1854872
239	57365	1854817
240	57644	1855871
241	57905	1856312
242	58143	1856059
243	58400	1856365
244	58645	1856296
245	58890	1856244
246	59125	1855856
247	59401	1856764
248	59643	1856628
249	59887	1856511
250	60123	1856172
251	60385	1856613
252	60639	1856814
253	60918	1857765
254	61149	1857278
255	61380	1856746
256	61659	1857712
257	61896	1857371
258	62142	1857329
259	62374	1856849
260	62615	1856646
261	62852	1856304
262	63124	1857023
263	63366	1856822
264	63608	1856644
265	63847	1856383
266	64092	1856269
267	64333	1856074
268	64625	1857336
269	64856	1856814
270	65094	1856516
271	65341	1856469
272	65584	1856316
273	65830	1856236
274	66108	1857040
275	66355	1857004
276	66595	1856735
277	66831	1856366
278	67102	1856975
279	67346	1856845
280	67623	1857588
281	67865	1857401
282	68100	1857010
283	68338	1856682
284	68597	1856956
285	68835	1856629
286	69109	1857300
287	69346	1856949
288	69587	1856703
289	69836	1856686
290	70081	1856546
291	70330	1856527
292	70618	1857538
293	70859	1857301
294	71097	1856965
295	71340	1856785
296	71579	1856486
297	71851	1857042
298	72097	1856940
299	72346	1856887
300	72588	1856670
301	72823	1856266
302	73061	1855953
303	73302	1855720
304	73573	1856214
305	73809	1855861
306	74056	1855754
307	74311	1855850
308	74542	1855361
309	74770	1854800
310	75047	1855433
311	75284	1855090
312	75515	1854593
313	75769	1854652
314	76005	1854302
315	76255	1854269
316	76532	1854895
317	76761	1854347
318	77013	1854348
319	77275	1854604
320	77520	1854445
321	77756	1854077
322	78008	1854095
323	78268	1854290
324	78525	1854407
325	78764	1854098
326	79004	1853828
327	79246	1853600
328	79486	1853315
329	79763	1853901
330	80005	1853665
331	80256	1853638
332	80495	1853325
333	80743	1853223
334	80979	1852862
335	81224	1852694
336	81503	1853302
337	81742	1852984
338	81972	1852481
339	82215	1852260
340	82466	1852223
341	82744	1852802
342	83000	1852865
343	83246	1852717
344	83490	1852517
345	83737	1852383
346	83977	1852105
347	84256	1852683
348	84510	1852692
349	84752	1852453
350	84991	1852138
351	85235	1851924
352	85522	1852660
353	85774	1852627
354	86015	1852355
355	86267	1852326
356	86508	1852053
357	86757	1851957
358	87009	1851919
359	87264	1851951
360	87516	1851898
361	87753	1851545
362	87989	1851180
363	88240	1851108
364	88476	1850726
365	88718	1850489
366	89005	1851163
367	89255	1851076
368	89495	1850785
369	89735	1850482
370	89989	1850481
371	90263	1850876
372	90513	1850785
373	90751	1850448
374	90993	1850207
375	91235	1849942
376	91471	1849565
377	91752	1850107
378	91992	1849799
379	92249	1849841
380	92487	1849509
381	92732	1849301
382	92998	1849526
383	93248	1849434
384	93485	1849060
385	93725	1848774
386	94009	1849348
387	94246	1848972
388	94497	1848886
389	94733	1848521
390	94976	1848282
391	95257	1848765
392	95507	1848665
393	95753	1848473
394	95998	1848271
395	96273	1848638
396	96509	1848257
397	96749	1847965
398	96985	1847592
399	97223	1847244
400	97496	1847580
401	97745	1847439
402	97989	1847202
403	98251	1847314
404	98571	1848520
405	98813	1848246
406	99052	1847929
407	99299	1847742
408	99539	1847447
409	99815	1847802
410	100061	1847605
411	100301	1847302
